Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Per Svein Paulsen, Tormod Haugen","=""""","=""""",5,4.24,HarperCollins Publishers,Paperback,206,2005,1950,2021/01/01,2021/01/16,,,read,,,,1,0
65605,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"Lewis, C.S.",,"=""0060764902""","=""9780060764906""",5,4.05,HarperCollins Narnia,Mass Market Paperback,221,2005,1955,2021/01/02,2021/01/02,,,read,,,,1,0
31253737,An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,Elisabeth Rosenthal,"Rosenthal, Elisabeth",,"=""1524756202""","=""9781524756208""",4,4.30,Random House Large Print,Paperback,656,2017,2017,,2020/12/30,,,read,,,,1,0
28448362,Writing Without Bullshit,Joshua Bernoff,"Bernoff, Joshua",,"=""0062477153""","=""9780062477156""",4,4.02,HarperBusiness,Unknown Binding,304,2016,,,2020/12/05,reference,reference (#1),read,,,,0,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,2020/10/25,2020/12/04,,,read,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",5,4.20,The Penguin Group,Paperback,336,2014,2014,2020/12/26,2020/12/26,,,read,,,,1,0
61505,A Little History of the World,E.H. Gombrich,"Gombrich, E.H.",,"=""0300108834""","=""9780300108835""",4,4.11,Yale University Press,Hardcover,284,2005,1936,2020/12/10,2020/12/10,,,read,,,,1,0
16144853,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",5,4.10,Portfolio,Hardcover,350,2014,2014,2020/09/09,2020/09/09,,,read,,,,1,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",5,4.31,Knopf,Hardcover,287,2009,2009,2020/05/06,2020/05/06,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.47,Random House,Hardcover,352,2018,2018,2020/04/26,2020/04/26,,,read,,,,1,0
18085527,"Smart People Should Build Things: How to Restore Our Culture of Achievement, Build a Path for Entrepreneurs, and Create New Jobs in America",Andrew   Yang,"Yang, Andrew",,"=""0062292048""","=""9780062292049""",5,3.81,HarperBusiness,Hardcover,272,2014,2014,2019/12/28,2020/06/10,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc,Paperback,652,2006,2005,,2020/12/04,,,read,,,,2,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,2020/11/24,2020/12/04,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,2020/08/25,2020/12/04,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2020/07/31,2020/12/04,,,read,,,,1,0
